Lower layer Super Output Areas Code,Lower layer Super Output Areas,Household deprivation (6 categories) Code,Household deprivation (6 categories),Observation
E01016903,Brighton and Hove 010B,1,Household is not deprived in any dimension,367
E01016903,Brighton and Hove 010B,2,Household is deprived in one dimension,206
E01016903,Brighton and Hove 010B,3,Household is deprived in two dimensions,68
E01016903,Brighton and Hove 010B,4,Household is deprived in three dimensions,12
E01016903,Brighton and Hove 010B,5,Household is deprived in four dimensions,1
E01016904,Brighton and Hove 008C,-8,Does not apply,0
E01016904,Brighton and Hove 008C,1,Household is not deprived in any dimension,194
E01016904,Brighton and Hove 008C,2,Household is deprived in one dimension,212
E01016904,Brighton and Hove 008C,3,Household is deprived in two dimensions,184
E01016904,Brighton and Hove 008C,4,Household is deprived in three dimensions,82
E01016904,Brighton and Hove 008C,5,Household is deprived in four dimensions,11
E01016905,Brighton and Hove 008D,-8,Does not apply,0
E01016905,Brighton and Hove 008D,1,Household is not deprived in any dimension,263
E01016905,Brighton and Hove 008D,2,Household is deprived in one dimension,274
E01016905,Brighton and Hove 008D,3,Household is deprived in two dimensions,170
E01016905,Brighton and Hove 008D,4,Household is deprived in three dimensions,80
E01016905,Brighton and Hove 008D,5,Household is deprived in four dimensions,10
E01016906,Brighton and Hove 009A,-8,Does not apply,0
E01016906,Brighton and Hove 009A,1,Household is not deprived in any dimension,178
E01016906,Brighton and Hove 009A,2,Household is deprived in one dimension,208
E01016906,Brighton and Hove 009A,3,Household is deprived in two dimensions,163
E01016906,Brighton and Hove 009A,4,Household is deprived in three dimensions,40
E01016906,Brighton and Hove 009A,5,Household is deprived in four dimensions,1
E01016907,Brighton and Hove 009B,-8,Does not apply,0
E01016907,Brighton and Hove 009B,1,Household is not deprived in any dimension,169
E01016907,Brighton and Hove 009B,2,Household is deprived in one dimension,240
E01016907,Brighton and Hove 009B,3,Household is deprived in two dimensions,129
E01016907,Brighton and Hove 009B,4,Household is deprived in three dimensions,38
E01016907,Brighton and Hove 009B,5,Household is deprived in four dimensions,3
E01016908,Brighton and Hove 009C,-8,Does not apply,0
E01016908,Brighton and Hove 009C,1,Household is not deprived in any dimension,145
E01016908,Brighton and Hove 009C,2,Household is deprived in one dimension,208
E01016908,Brighton and Hove 009C,3,Household is deprived in two dimensions,145
E01016908,Brighton and Hove 009C,4,Household is deprived in three dimensions,66
E01016908,Brighton and Hove 009C,5,Household is deprived in four dimensions,5
E01016909,Brighton and Hove 008E,-8,Does not apply,0
E01016909,Brighton and Hove 008E,1,Household is not deprived in any dimension,228
E01016909,Brighton and Hove 008E,2,Household is deprived in one dimension,221
E01016909,Brighton and Hove 008E,3,Household is deprived in two dimensions,132
E01016909,Brighton and Hove 008E,4,Household is deprived in three dimensions,38
E01016909,Brighton and Hove 008E,5,Household is deprived in four dimensions,1
E01016910,Brighton and Hove 009D,-8,Does not apply,0
E01016910,Brighton and Hove 009D,1,Household is not deprived in any dimension,167
E01016910,Brighton and Hove 009D,2,Household is deprived in one dimension,175
E01016910,Brighton and Hove 009D,3,Household is deprived in two dimensions,116
E01016910,Brighton and Hove 009D,4,Household is deprived in three dimensions,40
E01016910,Brighton and Hove 009D,5,Household is deprived in four dimensions,2
E01016911,Brighton and Hove 009E,-8,Does not apply,0
E01016911,Brighton and Hove 009E,1,Household is not deprived in any dimension,207
E01016911,Brighton and Hove 009E,2,Household is deprived in one dimension,200
E01016911,Brighton and Hove 009E,3,Household is deprived in two dimensions,92
E01016911,Brighton and Hove 009E,4,Household is deprived in three dimensions,23
